budget_year,budget
2553,199262407.0
2554,347769851.71999997
2555,156817493.98000002
2556,214478868.88000003
2557,189042165.04999998
2558,422331265.5700001
2559,318377058.3700002
2560,482279938.66000044
2561,384835794.45000005
2562,443497556.81
