,sum_international,sum_national,year
0,3822835.915,87152715.90400001,2554
1,41195989.919999994,107247140.95033336,2555
2,45198473.9155,144821195.0749524,2556
3,47343608.01071212,108320266.95668831,2557
4,50370771.094909094,132626632.68802264,2558
5,44396270.03340909,218733906.36274314,2559
6,42397011.92286363,322032905.4408977,2560
7,39048615.78599999,398104746.05181104,2561
8,43657617.86049999,438281610.12719995,2562
9,36656289.3338,105596665.98550002,2563
