,0,1,2,3,4,5,6,7,8,9,10,11
2554,76810529.30000001,0.0,1100008.575,9342186.604,1000000.0,0.0,648760.0,1583444.67,490622.67,0.0,0.0,19695632.36
2555,74728773.63333336,1305000.0,19147379.019999996,30204624.647,1008742.67,0.0,13506018.35,5485843.22,2599249.3299999996,457499.9999999999,0.0,31975706.753
2556,77628059.3,1075000.0,29277796.244999997,61616272.44495238,4501863.329999999,0.0,7507862.68,6318210.9705,2060854.02,33749.99999999998,0.0,38059805.717
2557,0.0,8929320.0,26430764.61454545,91151898.84668833,8239048.1099999985,0.0,5053778.399999999,14004505.866166666,1775624.1300000004,78935.0,0.0,22106358.04
2558,0.0,19249720.6415,31402392.660909094,93718663.78652264,19258248.26,0.0,2500519.79,13740215.797999999,2296363.846,431279.0,400000.0,36282355.160000004
2559,0.0,31821682.595,18511512.936409093,165881731.02374315,17127871.174,0.0,2649674.108,20357921.974999998,2554151.014,323010.0,3902621.57,32634901.178999998
2560,0.0,79952790.48200001,19356620.38236364,227354917.59489766,12806074.174,0.0,2139663.7640000004,18389353.686499994,2461656.59,49717.5,1919123.19,33179630.246499997
2561,0.0,154285324.03,20134974.329000004,231816088.24781105,11084210.574000001,0.0,2512960.3780000005,15403192.730999997,922912.098,74576.25,919123.2,38892762.002500005
2562,0.0,185315086.96400002,18889227.609499995,244429960.09820002,8536563.065,0.0,1925453.748,12822562.148999998,9972233.104,48141.25,0.0,2744314.483
2563,0.0,13339907.467,15520690.448799998,90680608.23550002,1576150.283,0.0,561573.3319999999,7578768.475000001,12902127.078,93130.0,0.0,1212723.3695
