,3
2554,8440483.814000001
2555,27227204.647
2556,56472180.78495239
2557,91553452.47123376
2558,91135238.85561354
2559,167560265.41483405
2560,223604415.35426134
2561,231002432.11531103
2562,243335483.9332
2563,90644375.59500004
