year,Governmentagencies
2554,269921510.98
2555,35582143.98
2556,136916286.89
2557,76784106.93
2558,220532995.81
2559,229430799.46
2560,283357042.04
2561,159144880.95
2562,219188627.0
2563,26646020.0
